,subj,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt,session
41,1,0,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial136_0.wav,1,16,3808,-2.56538887207775,True,1.345,1
42,1,0,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial136_0.wav,1,17,4322,-5.379104719287588,True,1.345,1
43,1,0,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial136_0.wav,1,18,4895,3.077537520728803,True,1.345,1
44,1,0,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial136_0.wav,1,19,5534,3.1999462587896894,True,1.345,1
45,1,0,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial136_0.wav,1,20,6245,-6.551761051158475,True,1.345,1
46,1,0,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial136_0.wav,1,21,7037,-1.2126327991300634,True,1.345,1
47,1,0,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial136_0.wav,1,22,7920,2.048473792435411,True,1.345,1
48,1,0,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial136_0.wav,1,23,8904,0.1009745767564638,True,1.345,1
49,1,0,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial136_0.wav,1,24,10000,-0.7169763767523375,True,1.345,1
50,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,0,100,-1.7808269146834619,True,1.705,1
51,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,1,191,-10.986596305364078,True,1.705,1
52,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,2,293,-6.8457147266686285,True,1.705,1
53,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,3,406,-8.29592726177399,True,1.705,1
54,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,4,533,3.1769188297871103,True,1.705,1
55,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,5,673,4.615891580669695,True,1.705,1
56,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,6,830,-3.7672933482847113,True,1.705,1
57,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,7,1004,-0.12995107440603268,True,1.705,1
58,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,8,1199,-1.0138590119685458,True,1.705,1
59,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,9,1416,-1.0410351700191387,True,1.705,1
60,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,10,1657,-0.1020573968802936,True,1.705,1
61,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,11,1926,5.0153266816841935,True,1.705,1
62,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,12,2226,-10.257221339107797,True,1.705,1
63,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,13,2560,7.3740051113115825,True,1.705,1
64,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,14,2932,-10.73010627369352,True,1.705,1
65,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,15,3346,-8.545147265473663,True,1.705,1
66,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,16,3808,3.901650063997327,True,1.705,1
67,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,17,4322,-5.044304447712867,True,1.705,1
68,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,18,4895,-0.9780318031107784,True,1.705,1
69,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,19,5534,0.6794547007768749,True,1.705,1
70,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,20,6245,1.9038308624699616,True,1.705,1
71,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,21,7037,-9.243505387431576,True,1.705,1
