subj,date,session,trial,stim,stim_order,filter,filter_freq,filter_gain,response,rt
10,19-May-2017,1,1,stim.wav,0,0,100,-2.837540033841017,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,1,191,6.9212586410179044,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,2,293,5.463145566966729,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,3,406,2.2435701318940473,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,4,533,1.4383185173164215,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,5,673,-9.123062808075884,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,6,830,5.630433518930607,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,7,1004,-4.378343804272752,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,8,1199,5.743173962912229,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,9,1416,-6.900437431448295,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,10,1657,5.739189138588535,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,11,1926,0.5570131307080696,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,12,2226,7.180010670400685,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,13,2560,-3.2730212353532613,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,14,2932,-5.210161333790015,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,15,3346,-0.16439343347391275,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,16,3808,-3.61062865886589,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,17,4322,6.0332755268181595,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,18,4895,-2.166003178062852,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,19,5534,-1.0944064443660182,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,20,6245,-2.638697475726275,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,21,7037,0.45810708091011976,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,22,7920,-7.333098598848532,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,23,8904,-3.177582732489099,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,0,24,10000,3.8539373129653627,0,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,0,100,6.027118338035899,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,1,191,3.3250693208214077,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,2,293,0.18563518485666153,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,3,406,-0.7615710315551121,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,4,533,-3.7513729593946215,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,5,673,-1.0767875421376345,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,6,830,6.386362617379772,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,7,1004,-4.781930196645657,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,8,1199,-5.515955031415248,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,9,1416,-7.326870099771608,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,10,1657,-0.8792254534711187,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,11,1926,-2.6454200606051828,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,12,2226,-8.800126165445766,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,13,2560,-1.7218417991853974,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,14,2932,8.169541864604867,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,15,3346,7.626084580312797,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,16,3808,3.5529219760162705,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,17,4322,-1.2013741228746548,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,18,4895,-9.89998149678408,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,19,5534,-1.0886470591334176,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,20,6245,-6.416779531190404,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,21,7037,-2.1216926867707766,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,22,7920,-1.1282623472693156,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,23,8904,5.525745390444979,1,3.8412392514705993
10,19-May-2017,1,1,stim.wav,1,24,10000,5.082974515434914,1,3.8412392514705993
10,19-May-2017,1,2,stim.wav,0,0,100,4.772728870827412,1,2.3037358046198406
10,19-May-2017,1,2,stim.wav,0,1,191,3.617110069564532,1,2.3037358046198406
