subj,date,session,trial,stim,stim_order,filter,filter_freq,filter_gain,response,rt
4,19-May-2017,1,1,stim.wav,0,0,100,-4.766205001888397,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,1,191,6.426982424895922,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,2,293,-3.2456870689289103,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,3,406,-4.725427230419502,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,4,533,-6.345694897200412,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,5,673,0.2900499245816514,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,6,830,-2.852169150519309,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,7,1004,-0.7813465801134595,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,8,1199,0.1199298161034747,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,9,1416,-0.19891639135391398,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,10,1657,3.2463110602850778,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,11,1926,9.579742327804386,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,12,2226,-3.0892156782031326,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,13,2560,4.825291286465441,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,14,2932,-8.18108599484222,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,15,3346,0.566310943342376,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,16,3808,-4.23010286971192,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,17,4322,-0.23733023917614593,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,18,4895,5.87758455294469,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,19,5534,-7.270558797798634,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,20,6245,4.127487786521883,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,21,7037,3.7763181145315414,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,22,7920,-5.7509692610430125,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,23,8904,-2.8447273968327775,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,0,24,10000,-2.832231533720177,1,4.381728053805615
4,19-May-2017,1,1,stim.wav,1,0,100,1.8305302425858205,0,4.381728053805615
4,19-May-2017,1,1,stim.wav,1,1,191,-1.2018603089562243,0,4.381728053805615
4,19-May-2017,1,1,stim.wav,1,2,293,-3.702215080163429,0,4.381728053805615
