,type,subj,session,filter_freq,kernel_gain,norm_gain
0,controls,1,1.0,100,-0.10203290595320666,-0.21533623926376635
1,controls,1,1.0,191,-0.5506216293024457,-1.162064236077459
2,controls,1,1.0,293,-0.6339602471813557,-1.3379469514802202
3,controls,1,1.0,406,-1.0985191304132202,-2.3183793119738296
4,controls,1,1.0,533,-0.908431477402527,-1.9172071612113042
5,controls,1,1.0,673,0.5055621140219432,1.0669679877357572
6,controls,1,1.0,830,0.6146800060103381,1.297256797778537
7,controls,1,1.0,1004,-0.1265945767105707,-0.2671726322539963
8,controls,1,1.0,1199,0.5828205099909182,1.2300186456003845
9,controls,1,1.0,1416,-0.02238077964780813,-0.0472337122629857
10,controls,1,1.0,1657,-0.05323149869223408,-0.11234288224640668
11,controls,1,1.0,1926,-0.5545169612390426,-1.1702851734512851
12,controls,1,1.0,2226,-0.20812828030336125,-0.43924615050672594
13,controls,1,1.0,2560,0.5602915953140972,1.182472300469082
14,controls,1,1.0,2932,-0.20139414468247585,-0.4250340350548867
15,controls,1,1.0,3346,0.35842119907496145,0.7564331561487424
16,controls,1,1.0,3808,0.5016242778043383,1.0586573468301206
17,controls,1,1.0,4322,-0.1520341093249908,-0.3208617164826612
18,controls,1,1.0,4895,-0.23501052190316601,-0.49598001253881097
19,controls,1,1.0,5534,-0.3698600718409871,-0.7805744252799219
20,controls,1,1.0,6245,-0.133975737490576,-0.2827502676150482
21,controls,1,1.0,7037,0.4745879222782422,1.0015982337136358
22,controls,1,1.0,7920,-0.22919601829835773,-0.48370874252304524
23,controls,1,1.0,8904,0.15668719915029025,0.33068187062387516
24,controls,1,1.0,10000,0.502133535104899,1.059732113356624
25,controls,2,1.0,100,-0.203622816333457,-0.417676578344679
26,controls,2,1.0,191,-0.2754148257478818,-0.5649382722189081
27,controls,2,1.0,293,-0.5592382607351025,-1.1471245090763815
28,controls,2,1.0,406,-0.7787397583788478,-1.5973718641037966
29,controls,2,1.0,533,-0.33575130013004384,-0.6887020656046794
30,controls,2,1.0,673,0.9922254294849547,2.035279394501534
31,controls,2,1.0,830,0.9083488720036573,1.8632295517435011
32,controls,2,1.0,1004,0.02436265162736273,0.04997332398377368
33,controls,2,1.0,1199,1.1549655112511268,2.3690962119662062
34,controls,2,1.0,1416,0.17050870353909758,0.3497520226592401
35,controls,2,1.0,1657,-0.1486157324910403,-0.3048445736719076
36,controls,2,1.0,1926,-0.3370142485604422,-0.6912926592745495
37,controls,2,1.0,2226,0.15978211324131264,0.32774935314725817
38,controls,2,1.0,2560,0.5549218062550801,1.1382704819577119
39,controls,2,1.0,2932,0.22859486388841294,0.46889991158810995
40,controls,2,1.0,3346,0.05075280384667834,0.1041055115226604
41,controls,2,1.0,3808,0.11906792448693776,0.24423531795604284
42,controls,2,1.0,4322,0.023773189549582935,0.04876420357111904
43,controls,2,1.0,4895,-0.314512856892801,-0.6451372016054885
44,controls,2,1.0,5534,-0.008440867967622275,-0.01731413460661578
45,controls,2,1.0,6245,-0.22542064146429142,-0.4623888614765111
46,controls,2,1.0,7037,-0.5008559788889237,-1.0273692077965222
47,controls,2,1.0,7920,0.25451073503212057,0.5220592410730683
48,controls,2,1.0,8904,0.22207422252690662,0.4555245972617102
49,controls,2,1.0,10000,0.7522078754664185,1.542948954768541
50,controls,3,1.0,100,-1.9685208495728983,-2.912388735371557
51,controls,3,1.0,191,-1.2821795851208886,-1.896960035368509
52,controls,3,1.0,293,-1.1223553578564995,-1.660503165112214
53,controls,3,1.0,406,-0.549231039616572,-0.8125767594703235
54,controls,3,1.0,533,-0.2500167665789572,-0.36989499745281224
55,controls,3,1.0,673,0.6943220855859343,1.0272361713714617
56,controls,3,1.0,830,-0.3462117780121633,-0.5122136667002282
57,controls,3,1.0,1004,-0.32429262747385496,-0.47978470506106996
58,controls,3,1.0,1199,0.9198278646467986,1.360867634223655
59,controls,3,1.0,1416,-0.2229655271849208,-0.3298732090597026
60,controls,3,1.0,1657,-0.34521889285075846,-0.5107447122005995
61,controls,3,1.0,1926,-0.007459147155292466,-0.011035664750650685
62,controls,3,1.0,2226,-0.22663662662831088,-0.335304530078059
63,controls,3,1.0,2560,0.2654056424514515,0.39266254332402184
64,controls,3,1.0,2932,-0.01822159509782705,-0.026958499481947118
65,controls,3,1.0,3346,0.3864970652818795,0.5718149743881729
66,controls,3,1.0,3808,0.17548666120939033,0.2596291400342959
67,controls,3,1.0,4322,0.08981271041648756,0.13287617764725107
68,controls,3,1.0,4895,0.27636714438627275,0.4088798746083988
69,controls,3,1.0,5534,-0.02868331079352926,-0.04243640663819267
70,controls,3,1.0,6245,-0.17293870677676254,-0.2558594904573381
71,controls,3,1.0,7037,0.6454241966260257,0.9548926851334647
72,controls,3,1.0,7920,1.1652136000619864,1.7239111101406688
73,controls,3,1.0,8904,0.05423896274179691,0.08024550217068815
74,controls,3,1.0,10000,0.6014025106779226,0.8897634474649195
75,controls,4,1.0,100,0.07026720607120285,0.09878465333870144
76,controls,4,1.0,191,-0.4729662030008873,-0.6649161823371862
77,controls,4,1.0,293,-0.653782660828524,-0.9191157172715236
78,controls,4,1.0,406,-1.9218815727727223,-2.7018635796051336
79,controls,4,1.0,533,-1.7939675823973666,-2.522036603368234
80,controls,4,1.0,673,1.3468182932744006,1.893414946319577
81,controls,4,1.0,830,1.1628994117823654,1.6348538910782158
82,controls,4,1.0,1004,0.6479796402000818,0.9109575818745206
83,controls,4,1.0,1199,0.025121851222775687,0.03531737638399386
84,controls,4,1.0,1416,-0.2902595659552457,-0.40805935235386914
85,controls,4,1.0,1657,0.11244396683010272,0.15807855334513368
86,controls,4,1.0,1926,0.05979343801480559,0.08406018079381695
87,controls,4,1.0,2226,0.0874806257224065,0.12298401728231237
88,controls,4,1.0,2560,-0.3622989399565347,-0.5093353954093345
89,controls,4,1.0,2932,0.5314099170335344,0.7470788632425722
90,controls,4,1.0,3346,-0.31006220251214617,-0.4358987485223103
91,controls,4,1.0,3808,-0.0425264498972405,-0.059785508001665245
92,controls,4,1.0,4322,-0.29906319045672825,-0.4204358654262945
93,controls,4,1.0,4895,0.15693355165780143,0.22062392066674827
94,controls,4,1.0,5534,0.3108628656789687,0.43702435515729565
95,controls,4,1.0,6245,0.7734734968567769,1.0873822302859912
96,controls,4,1.0,7037,-0.03178051965767296,-0.04467841818167324
97,controls,4,1.0,7920,0.023383956073860762,0.032874168813586
98,controls,4,1.0,8904,0.24648431450531183,0.34651822554552125
99,controls,4,1.0,10000,0.05931403600412469,0.08338621687689386
100,controls,5,1.0,100,-0.549230853945008,-1.4026467407557548
101,controls,5,1.0,191,-0.28400727076105664,-0.7253086199046993
102,controls,5,1.0,293,-0.6885857614357389,-1.7585366282160182
103,controls,5,1.0,406,-0.3606255467090506,-0.9209793005826991
104,controls,5,1.0,533,-0.4298916820357954,-1.0978738036190006
105,controls,5,1.0,673,0.12069593249702806,0.3082378841673443
106,controls,5,1.0,830,0.17835141539763189,0.4554806593981187
107,controls,5,1.0,1004,0.37644239369260135,0.9613729687664083
108,controls,5,1.0,1199,1.1744860317869343,2.999447304746737
109,controls,5,1.0,1416,-0.06543569665096051,-0.1671121823861371
110,controls,5,1.0,1657,-0.36092239128994846,-0.9217373936157409
