subj,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,0,100,-10.874600863249771,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,1,191,11.951964790994547,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,2,293,-4.568925957170626,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,3,406,-2.813405076946065,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,4,533,1.5599128094530244,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,5,673,-2.708637586665415,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,6,830,0.0955994913926464,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,7,1004,2.195046437166949,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,8,1199,1.861347580077253,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,9,1416,3.957135941193389,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,10,1657,-2.970792022565581,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,11,1926,-9.327889457037454,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,12,2226,-1.6364256018057977,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,13,2560,-2.9562236800011603,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,14,2932,-4.032722297079193,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,15,3346,7.192593752068635,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,16,3808,7.375562330365712,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,17,4322,1.8240392506908896,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,18,4895,-6.62525509246509,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,19,5534,7.6286094762573455,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,20,6245,-3.6211329350897223,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,21,7037,2.4115979540153285,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,22,7920,-5.23972487067044,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,23,8904,-7.799579286699856,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial14_0.wav,0,24,10000,-2.062493505711057,False,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,0,100,-0.441281527575062,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,1,191,1.6330496983140481,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,2,293,-2.9227846462009244,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,3,406,-3.781038139405703,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,4,533,-0.31764285436023226,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,5,673,-4.609576161847998,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,6,830,-5.420777179439618,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,7,1004,-1.3167226504099216,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,8,1199,-1.0980327697779413,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,9,1416,11.869044887504007,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,10,1657,3.00644771964871,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,11,1926,6.279664324538292,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,12,2226,1.6369506871230373,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,13,2560,-0.2863938469686463,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,14,2932,-1.8932609617147613,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,15,3346,-8.016617413510437,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,16,3808,-5.203574240211209,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,17,4322,-1.784314307605733,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,18,4895,-3.5519889945017553,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,19,5534,0.09191101197474413,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,20,6245,-3.49377692469173,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,21,7037,2.7003785434365497,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,22,7920,-11.080684311064443,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,23,8904,7.331709308015713,True,10.551
1,0,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial118_0.wav,1,24,10000,4.538783266324433,True,10.551
1,1,0,m,7,2021-03-24 10:33:35.351841,Sub1_Trial280_1.wav,0,0,100,1.4554463647909262,True,11.834
