subj,session,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,12,3022.22012828,-4.49734638,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,13,3578.36061576,0.48575382,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,14,4217.59458808,1.52691912,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,15,4952.33712269,0.14136143,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,16,5796.85824570,2.06987844,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,17,6767.56008152,-4.70966314,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,18,7883.29541175,-4.84018484,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,19,9165.73383021,1.08476750,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,20,10639.78260555,-2.91798083,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,21,12334.07042541,-4.52739269,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,22,14281.50341712,-0.70374908,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,23,16519.90424416,4.88451900,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,24,19092.74669051,-4.43692226,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,25,22050.00000000,-3.69134890,False,0.427
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,0,100.0,-0.8413748087013819,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,1,191.0,-0.508212207818517,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,2,293.0,-0.7064540836890618,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,3,406.0,-1.563085776129798,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,4,533.0,-1.0042739144132906,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,5,673.0,0.5503436455299164,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,6,830.0,0.6355236363614536,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,7,1004.0,0.18258331583897092,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,8,1199.0,1.0775510715714662,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,9,1416.0,0.07035631583735258,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,10,1657.0,-0.17815117497723656,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,11,1926.0,-0.1694125054827026,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,12,2226.0,0.16378442502596796,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,13,2560.0,0.34787304916463235,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,14,2932.0,0.0626149612132311,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,15,3346.0,0.2996597360864252,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,16,3808.0,0.42937102971314384,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,17,4322.0,-0.41737623835229487,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,18,4895.0,0.059966459920471,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,19,5534.0,0.27708525932290595,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,20,6245.0,0.17960724922351168,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,21,7037.0,0.1292321690281848,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,22,7920.0,0.0646792137345456,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,23,8904.0,0.35333251063145654,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,24,10000.0,0.5238291016113881,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,0,100.0,0.5258592554383636,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,1,191.0,0.3176326298865731,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,2,293.0,0.44153380230566364,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,3,406.0,0.9769286100811237,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,4,533.0,0.6276711965083066,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,5,673.0,-0.3439647784561977,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,6,830.0,-0.3972022727259084,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,7,1004.0,-0.11411457239935671,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,8,1199.0,-0.6734694197321663,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,9,1416.0,-0.04397269739834536,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,10,1657.0,0.11134448436077295,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,11,1926.0,0.10588281592668904,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,12,2226.0,-0.10236526564122989,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,13,2560.0,-0.21742065572789512,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,14,2932.0,-0.039134350758269425,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,15,3346.0,-0.18728733505401565,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,16,3808.0,-0.2683568935707148,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,17,4322.0,0.26086014897018434,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,18,4895.0,-0.03747903745029435,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,19,5534.0,-0.17317828707681623,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,20,6245.0,-0.1122545307646948,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,21,7037.0,-0.08077010564261548,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,22,7920.0,-0.040424508584090926,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,23,8904.0,-0.22083281914466038,False,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_controls.wav,1,24,10000.0,-0.3273931885071175,False,0.349
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,0,0.00000000,-3.60273504,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,1,104.58767290,0.03963354,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,2,224.80189054,-1.39376076,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,3,362.97743001,4.25017895,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,4,521.79790965,0.65105748,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,5,704.34790983,-1.81995132,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,6,914.17288101,0.81909287,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,7,1155.34800284,-3.84833970,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,8,1432.55733147,-0.35946654,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,9,1751.18477235,-2.89956630,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,10,2117.41864548,0.43776068,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,11,2538.37187364,-0.11053798,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,12,3022.22012828,4.09018952,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,13,3578.36061576,-2.90408585,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,14,4217.59458808,-2.51283488,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,15,4952.33712269,-0.12270824,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,16,5796.85824570,1.39937266,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,17,6767.56008152,1.89996744,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,18,7883.29541175,2.87511044,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,19,9165.73383021,-2.09206272,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,20,10639.78260555,0.81967019,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,21,12334.07042541,4.91405871,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,22,14281.50341712,4.05986882,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,23,16519.90424416,-2.76560565,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,24,19092.74669051,3.68539463,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_3.wav,0,25,22050.00000000,2.93108139,True,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,0,0.00000000,-1.75009646,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,1,104.58767290,-4.68949526,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,2,224.80189054,1.59088497,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,3,362.97743001,-4.10668826,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,4,521.79790965,-0.27539168,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,5,704.34790983,0.00787030,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,6,914.17288101,4.14190553,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,7,1155.34800284,-3.91776862,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,8,1432.55733147,0.87917740,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,9,1751.18477235,-0.89114449,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,10,2117.41864548,4.42351000,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,11,2538.37187364,-4.76809712,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,12,3022.22012828,3.18069417,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,13,3578.36061576,0.07917984,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,14,4217.59458808,4.18290699,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,15,4952.33712269,1.54488285,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,16,5796.85824570,-4.46972323,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,17,6767.56008152,-0.18022610,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,18,7883.29541175,1.66985694,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,19,9165.73383021,-1.97569442,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,20,10639.78260555,1.62508036,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,21,12334.07042541,0.12211539,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,22,14281.50341712,3.17132252,False,0.142
